phase,candidate_id,trial_id,selection_score,sample_count
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_148,150.930420045,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_096,153.110436576,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_126,153.200411735,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_123,153.539572896,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_187,154.070593718,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_059,155.094547359,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_113,156.261310584,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_081,156.286304489,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_160,156.709379669,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_183,156.791437614,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_145,157.375535906,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_191,158.240721674,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_023,159.94961628,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_040,160.296853094,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_033,160.73601367,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_005,161.659500026,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_124,163.358631309,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_102,165.352491044,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_022,165.40806686,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_001,165.830474496,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_175,166.184667074,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_044,166.232166476,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_097,167.036619795,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_065,167.0796036,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_141,167.244621739,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_104,167.35849949,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_139,168.856830914,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_004,170.679706562,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_140,171.546320115,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_164,172.35882751,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_157,172.723378165,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_109,174.399905444,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_073,174.682124295,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_012,175.238797965,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_154,175.849401317,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_026,176.123020856,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_143,176.76579309,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_068,177.060248946,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_014,177.166895941,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_030,177.935180705,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_088,181.073274644,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_144,181.203115221,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_052,181.247555647,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_066,182.875165062,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_045,183.954523056,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_156,184.210281851,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_163,186.946754636,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_072,187.147552411,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_008,187.557760614,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_181,188.041726787,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_138,189.417919152,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_166,190.038424025,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_084,192.29359922,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_064,192.785315723,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_091,192.822417223,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_069,193.365946331,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_149,193.413302539,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_118,195.680728249,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_016,197.075941024,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_134,202.034966228,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_185,203.749133686,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_171,204.358489383,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_018,206.160118042,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_070,208.421011426,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_132,208.532288019,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_062,210.564926241,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_142,211.361538921,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_075,212.89527144,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_011,215.962900225,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_125,216.184081343,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_170,216.553859237,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_050,216.783789538,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_082,225.600472006,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_182,225.759907061,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_003,231.197549452,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_034,232.211755057,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_046,232.347167143,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_120,232.883550708,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_100,233.858008248,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_155,240.539609764,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_067,241.131397274,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_133,242.288616094,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_152,244.741208424,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_085,245.103210878,331959
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_176,246.817979508,331959
