candidate_id,split,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,rejected_rate,rejected_rate_penalty,finite_count,nonfinite_count,accepted_only_sum_nis,accepted_only_sum_nis_sq,accepted_only_rms_nis,accepted_only_sqrt_mean_nis,physical_residual_rms,segment_count
baseline,all,91569,22536.1668534,21089.3324763,0.479907106551,0.496096072716,91569,0,0,0,91569,0,22536.1668534,21089.3324763,0.479907106551,0.496096072716,0.188653736716,1
baseline,validation,91569,22536.1668534,21089.3324763,0.479907106551,0.496096072716,91569,0,0,0,91569,0,22536.1668534,21089.3324763,0.479907106551,0.496096072716,0.188653736716,1
in_shear,all,91569,11945.5752494,6220.60379942,0.260640580929,0.361184661285,91569,0,0,0,91569,0,11945.5752494,6220.60379942,0.260640580929,0.361184661285,0.138244436775,1
in_shear,validation,91569,11945.5752494,6220.60379942,0.260640580929,0.361184661285,91569,0,0,0,91569,0,11945.5752494,6220.60379942,0.260640580929,0.361184661285,0.138244436775,1
shear_rate,all,91569,11713.7060988,5981.3704754,0.25557955853,0.357662103084,91569,0,0,0,91569,0,11713.7060988,5981.3704754,0.25557955853,0.357662103084,0.137508864979,1
shear_rate,validation,91569,11713.7060988,5981.3704754,0.25557955853,0.357662103084,91569,0,0,0,91569,0,11713.7060988,5981.3704754,0.25557955853,0.357662103084,0.137508864979,1
skew_shear,all,91569,12117.2502808,6392.47765415,0.264216766648,0.363770773431,91569,0,0,0,91569,0,12117.2502808,6392.47765415,0.264216766648,0.363770773431,0.139255431731,1
skew_shear,validation,91569,12117.2502808,6392.47765415,0.264216766648,0.363770773431,91569,0,0,0,91569,0,12117.2502808,6392.47765415,0.264216766648,0.363770773431,0.139255431731,1
slip_envelope,all,91569,16973.6040524,12302.9727093,0.366547949715,0.430539297476,91569,0,0,0,91569,0,16973.6040524,12302.9727093,0.366547949715,0.430539297476,0.16233784182,1
slip_envelope,validation,91569,16973.6040524,12302.9727093,0.366547949715,0.430539297476,91569,0,0,0,91569,0,16973.6040524,12302.9727093,0.366547949715,0.430539297476,0.16233784182,1
stribeck_fade,all,91569,12161.2173872,6436.35932968,0.265122084241,0.364430141927,91569,0,0,0,91569,0,12161.2173872,6436.35932968,0.265122084241,0.364430141927,0.139550199084,1
stribeck_fade,validation,91569,12161.2173872,6436.35932968,0.265122084241,0.364430141927,91569,0,0,0,91569,0,12161.2173872,6436.35932968,0.265122084241,0.364430141927,0.139550199084,1
