candidate_id,split,stage,log_parameter,measurement_dimension,count,accepted_count,rejected_count,rejected_rate,rejected_rate_penalty,segment_count,score_partition,rms_nis,sqrt_mean_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,physical_residual_rms,parameter_field,parameter_value_kind,parameter_value,launch_command_signature
baseline/current_holdover,all,SEC_10_STATIC,forward_accel_nis,1,3072,3072,0,0,0,3,active_traction,0.00339880546607,0.0463927466183,1.73205080757,1.73205080757,1.7286520021,true,0.0561758798777,none,none,,
baseline/current_holdover,all,SEC_10_STATIC,right_accel_nis,1,3072,3072,0,0,0,3,active_traction,0.0160488244928,0.102161181097,1.73205080757,1.73205080757,1.71600198308,true,0.124766340321,none,none,,
baseline/current_holdover,all,SEC_10_STATIC,yaw_rate_nis,1,3072,3072,0,0,0,3,active_traction,0.19821113651,0.338446152155,1.73205080757,1.73205080757,1.53383967106,true,0.0130720654039,none,none,,
baseline/current_holdover,all,static,forward_accel_nis,1,2048,2048,0,0,0,2,active_traction,0.0677945288955,0.232341815377,1.73205080757,1.73205080757,1.66425627867,true,0.28142775462,none,none,,
baseline/current_holdover,all,static,right_accel_nis,1,2048,2048,0,0,0,2,active_traction,0.0231838288483,0.134774502638,1.73205080757,1.73205080757,1.70886697872,true,0.163281742077,none,none,,
baseline/current_holdover,all,static,yaw_rate_nis,1,3072,3072,0,0,0,3,active_traction,0.5775423294,0.615028119695,1.73205080757,1.73205080757,1.15450847817,true,0.0239186258538,none,none,,
baseline/current_holdover,held_out,static,forward_accel_nis,1,1024,1024,0,0,0,1,active_traction,0.0799633054732,0.254752900596,1.73205080757,1.73205080757,1.6520875021,true,0.308592467104,none,none,,
baseline/current_holdover,held_out,static,right_accel_nis,1,1024,1024,0,0,0,1,active_traction,0.0181588497666,0.120086319274,1.73205080757,1.73205080757,1.7138919578,true,0.145850516934,none,none,,
baseline/current_holdover,held_out,static,yaw_rate_nis,1,1024,1024,0,0,0,1,active_traction,0.700960959705,0.747314979661,1.73205080757,1.73205080757,1.03108984786,true,0.028987548509,none,none,,
baseline/current_holdover,train,SEC_10_STATIC,forward_accel_nis,1,2048,2048,0,0,0,2,active_traction,0.00416265375047,0.0567752825581,1.73205080757,1.73205080757,1.72788815382,true,0.0687478631235,none,none,,
baseline/current_holdover,train,SEC_10_STATIC,right_accel_nis,1,2048,2048,0,0,0,2,active_traction,0.0196557094145,0.125095356485,1.73205080757,1.73205080757,1.71239509815,true,0.152775592238,none,none,,
baseline/current_holdover,train,SEC_10_STATIC,yaw_rate_nis,1,2048,2048,0,0,0,2,active_traction,0.242498863261,0.410145227829,1.73205080757,1.73205080757,1.48955194431,true,0.015843402919,none,none,,
baseline/current_holdover,train,static,yaw_rate_nis,1,1024,1024,0,0,0,1,active_traction,0.0156664560989,0.0827777679648,1.73205080757,1.73205080757,1.71638435147,true,0.00317773872764,none,none,,
baseline/current_holdover,validation,SEC_10_STATIC,forward_accel_nis,1,1024,1024,0,0,0,1,active_traction,1.62263993976e-05,0.00316154982148,1.73205080757,1.73205080757,1.73203458117,true,0.00382767187867,none,none,,
baseline/current_holdover,validation,SEC_10_STATIC,right_accel_nis,1,1024,1024,0,0,0,1,active_traction,2.18546425417e-05,0.00360892520834,1.73205080757,1.73205080757,1.73202895293,true,0.0043767411813,none,none,,
baseline/current_holdover,validation,SEC_10_STATIC,yaw_rate_nis,1,1024,1024,0,0,0,1,active_traction,0.0158608494189,0.0848479693491,1.73205080757,1.73205080757,1.71618995815,true,0.00325727641842,none,none,,
baseline/current_holdover,validation,static,forward_accel_nis,1,1024,1024,0,0,0,1,active_traction,0.052896749183,0.207524451531,1.73205080757,1.73205080757,1.67915405839,true,0.251344089622,none,none,,
baseline/current_holdover,validation,static,right_accel_nis,1,1024,1024,0,0,0,1,active_traction,0.027299011251,0.148012192221,1.73205080757,1.73205080757,1.70475179632,true,0.179023689219,none,none,,
baseline/current_holdover,validation,static,yaw_rate_nis,1,1024,1024,0,0,0,1,active_traction,0.71349402371,0.754617072662,1.73205080757,1.73205080757,1.01855678386,true,0.0294266205368,none,none,,
candidate_1_algebraic_envelope,all,SEC_10_STATIC,forward_accel_nis,1,3072,3072,0,0,0,3,active_traction,0.0121498388234,0.0549768166485,1.73205080757,1.73205080757,1.71990096875,true,0.128320922244,none,none,,
candidate_1_algebraic_envelope,all,SEC_10_STATIC,right_accel_nis,1,3072,3072,0,0,0,3,active_traction,0.0167465015891,0.104616923384,1.73205080757,1.73205080757,1.71530430598,true,0.126630635709,none,none,,
candidate_1_algebraic_envelope,all,SEC_10_STATIC,yaw_rate_nis,1,3072,3072,0,0,0,3,active_traction,0.166298753975,0.310685200511,1.73205080757,1.73205080757,1.56575205359,true,0.0129354912955,none,none,,
candidate_1_algebraic_envelope,all,static,forward_accel_nis,1,2048,2048,0,0,0,2,active_traction,0.0499295120001,0.196264152234,1.73205080757,1.73205080757,1.68212129557,true,0.239901903475,none,none,,
candidate_1_algebraic_envelope,all,static,right_accel_nis,1,2048,2048,0,0,0,2,active_traction,0.0207933401925,0.128883540311,1.73205080757,1.73205080757,1.71125746738,true,0.156355124053,none,none,,
candidate_1_algebraic_envelope,all,static,yaw_rate_nis,1,3072,3072,0,0,0,3,active_traction,0.419495822356,0.524390017904,1.73205080757,1.73205080757,1.31255498521,true,0.0238025987935,none,none,,
candidate_1_algebraic_envelope,held_out,static,forward_accel_nis,1,1024,1024,0,0,0,1,active_traction,0.0621207811763,0.223520517964,1.73205080757,1.73205080757,1.66993002639,true,0.272985905977,none,none,,
candidate_1_algebraic_envelope,held_out,static,right_accel_nis,1,1024,1024,0,0,0,1,active_traction,0.0233124705849,0.137004647779,1.73205080757,1.73205080757,1.70873833698,true,0.166235287767,none,none,,
candidate_1_algebraic_envelope,held_out,static,yaw_rate_nis,1,1024,1024,0,0,0,1,active_traction,0.53897483489,0.658881106843,1.73205080757,1.73205080757,1.19307597268,true,0.029626811792,none,none,,
