candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,accepted_count,rejected_count,rejected_rate,rejected_rate_penalty,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,physical_residual_rms,segment_count
baseline/current_holdover,all,SEC_10_STATIC,forward_accel_nis,1,none,none,,,3072,3072,0,0,0,6.61182547598,0.0354873710476,0.00339880546607,0.0463927466183,0.0561758798777,3
baseline/current_holdover,all,SEC_10_STATIC,right_accel_nis,1,none,none,,,3072,3072,0,0,0,32.0621780679,0.791238966065,0.0160488244928,0.102161181097,0.124766340321,3
baseline/current_holdover,all,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,3072,3072,0,0,0,351.884691174,120.691675044,0.19821113651,0.338446152155,0.0130720654039,3
baseline/current_holdover,all,static,forward_accel_nis,1,none,none,,,2048,2048,0,0,0,110.556608866,9.41280900743,0.0677945288955,0.232341815377,0.28142775462,2
baseline/current_holdover,all,static,right_accel_nis,1,none,none,,,2048,2048,0,0,0,37.2002131178,1.10077935629,0.0231838288483,0.134774502638,0.163281742077,2
baseline/current_holdover,all,static,yaw_rate_nis,1,none,none,,,3072,3072,0,0,0,1162.01345439,1024.68139699,0.5775423294,0.615028119695,0.0239186258538,3
baseline/current_holdover,held_out,static,forward_accel_nis,1,none,none,,,1024,1024,0,0,0,66.4566173309,6.54758934753,0.0799633054732,0.254752900596,0.308592467104,1
baseline/current_holdover,held_out,static,right_accel_nis,1,none,none,,,1024,1024,0,0,0,14.7668214547,0.337657676643,0.0181588497666,0.120086319274,0.145850516934,1
baseline/current_holdover,held_out,static,yaw_rate_nis,1,none,none,,,1024,1024,0,0,0,571.883191118,503.138577439,0.700960959705,0.747314979661,0.028987548509,1
baseline/current_holdover,train,SEC_10_STATIC,forward_accel_nis,1,none,none,,,2048,2048,0,0,0,6.60159018917,0.0354871014324,0.00416265375047,0.0567752825581,0.0687478631235,2
baseline/current_holdover,train,SEC_10_STATIC,right_accel_nis,1,none,none,,,2048,2048,0,0,0,32.0488411426,0.791238476976,0.0196557094145,0.125095356485,0.152775592238,2
baseline/current_holdover,train,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,2048,2048,0,0,0,344.512733002,120.434070902,0.242498863261,0.410145227829,0.015843402919,2
baseline/current_holdover,train,static,yaw_rate_nis,1,none,none,,,1024,1024,0,0,0,7.0166106821,0.25132835502,0.0156664560989,0.0827777679648,0.00317773872764,1
baseline/current_holdover,validation,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1024,1024,0,0,0,0.0102352868083,2.69615142308e-07,1.62263993976e-05,0.00316154982148,0.00382767187867,1
baseline/current_holdover,validation,SEC_10_STATIC,right_accel_nis,1,none,none,,,1024,1024,0,0,0,0.0133369253472,4.89088410238e-07,2.18546425417e-05,0.00360892520834,0.0043767411813,1
baseline/current_holdover,validation,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,1024,1024,0,0,0,7.37195817234,0.257604141352,0.0158608494189,0.0848479693491,0.00325727641842,1
baseline/current_holdover,validation,static,forward_accel_nis,1,none,none,,,1024,1024,0,0,0,44.0999915349,2.8652196599,0.052896749183,0.207524451531,0.251344089622,1
baseline/current_holdover,validation,static,right_accel_nis,1,none,none,,,1024,1024,0,0,0,22.4333916631,0.763121679651,0.027299011251,0.148012192221,0.179023689219,1
baseline/current_holdover,validation,static,yaw_rate_nis,1,none,none,,,1024,1024,0,0,0,583.113652586,521.291491195,0.71349402371,0.754617072662,0.0294266205368,1
candidate_1_algebraic_envelope,all,SEC_10_STATIC,forward_accel_nis,1,none,none,,,3072,3072,0,0,0,9.28496753297,0.45348428831,0.0121498388234,0.0549768166485,0.128320922244,3
