candidate_id,split,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,rejected_rate,rejected_rate_penalty,physical_residual_rms,segment_count
baseline/current_holdover,all,16384,1700.32897109,1156.71338673,0.265706948151,0.322148792372,16384,0,0,0,0.129932930505,6
baseline/current_holdover,held_out,3072,653.106629903,510.023824463,0.407459667156,0.461085474095,3072,0,0,0,0.197772564673,1
baseline/current_holdover,train,7168,390.179775016,121.512124836,0.130199947559,0.233310013421,7168,0,0,0,0.089956676391,3
baseline/current_holdover,validation,6144,657.042566168,525.177437435,0.292366377241,0.327017617014,6144,0,0,0,0.12657914222,2
candidate_1_algebraic_envelope,all,16384,1297.09381222,632.863633069,0.196537351995,0.28136866119,16384,0,0,0,0.128380805396,6
candidate_1_algebraic_envelope,held_out,3072,514.924552621,301.973847433,0.313526360074,0.40941259076,3072,0,0,0,0.18532244309,1
candidate_1_algebraic_envelope,train,7168,339.179775641,86.2772369027,0.109710732749,0.217528405255,7168,0,0,0,0.118300915326,3
candidate_1_algebraic_envelope,validation,6144,442.989483957,244.612548733,0.199532554621,0.268516578609,6144,0,0,0,0.102231053175,2
candidate_2_stribeck,all,16384,1243.85459122,575.442143227,0.187409181004,0.275533771664,16384,0,0,0,0.126689741963,6
candidate_2_stribeck,held_out,3072,495.627291143,277.180410639,0.300379756733,0.401667784165,3072,0,0,0,0.18456874972,1
candidate_2_stribeck,train,7168,330.746541192,81.2865719324,0.10649038716,0.214807112523,7168,0,0,0,0.116231207907,3
candidate_2_stribeck,validation,6144,417.480758889,216.975160655,0.187922770187,0.260670946342,6144,0,0,0,0.100033265748,2
candidate_3_load_sensitive,all,16384,1399.40248865,750.315199372,0.213999078107,0.292254597143,16384,0,0,0,0.130822533015,6
candidate_3_load_sensitive,held_out,3072,551.634835421,351.564779858,0.338292270249,0.423755390906,3072,0,0,0,0.187583371613,1
candidate_3_load_sensitive,train,7168,354.015612514,95.5926344206,0.11548171287,0.22223487305,7168,0,0,0,0.118683597047,3
candidate_3_load_sensitive,validation,6144,493.752040714,303.157785094,0.222130788991,0.283484193345,6144,0,0,0,0.107756998951,2
