"stage","log_parameter","parameter_value","launch_command_signature","count","rms_nis","sqrt_mean_nis","accepted_count","rejected_count","rejected_rate","finite_count","nonfinite_count","accepted_only_rms_nis","accepted_only_sqrt_mean_nis"
"yaw_launch","forward_accel_nis","-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","9000","253.352391886","12.8271257439","3122","5878","0.6531111111111111","9000","0","9.46170067939","2.56776489974"
"yaw_launch","forward_accel_nis","-0.8","pair=0,0;linear=0;yaw=0","1877","41.3601079162","3.14389436483","1747","130","0.06925945657964838","1877","0","3.67578748734","1.08386759548"
"yaw_launch","forward_accel_nis","-0.75","pair=-0.76,0.76;linear=0;yaw=0.76","9000","154.000926981","8.46805339351","5562","3438","0.382","9000","0","7.89415425873","2.22276690766"
"yaw_launch","forward_accel_nis","-0.75","pair=0,0;linear=0;yaw=0","1604","9.70276524794","1.54237867635","1554","50","0.03117206982543641","1604","0","3.09370890885","0.946745086405"
"yaw_launch","forward_accel_nis","-0.7","pair=-0.7,0.7;linear=0;yaw=0.7","9000","56.5150210129","4.25082197192","7652","1348","0.1497777777777778","9000","0","6.92284312508","2.02418822543"
"yaw_launch","forward_accel_nis","-0.7","pair=0,0;linear=0;yaw=0","1640","9.09460541614","1.2375204115799998","1613","27","0.016463414634146342","1640","0","2.19182010432","0.700056618871"
"yaw_launch","forward_accel_nis","-0.65","pair=-0.64,0.64;linear=0;yaw=0.64","9000","21.0766263103","3.03493558387","8522","478","0.05311111111111111","9000","0","8.84586491884","2.4681383908"
"yaw_launch","forward_accel_nis","-0.65","pair=0,0;linear=0;yaw=0","1433","13.0622956481","1.21047733692","1418","15","0.0104675505931612","1433","0","0.819178509642","0.433097439277"
"yaw_launch","forward_accel_nis","-0.6","pair=-0.6,0.6;linear=0;yaw=0.6","9000","17.6255363531","2.97377365401","8836","164","0.018222222222222223","9000","0","9.30498884861","2.72690308513"
"yaw_launch","forward_accel_nis","-0.6","pair=0,0;linear=0;yaw=0","1273","0.713286348524","0.450395772342","1273","0","0","1273","0","0.713286348524","0.450395772342"
"yaw_launch","forward_accel_nis","-0.55","pair=-0.56,0.56;linear=0;yaw=0.56","10250","21.1765345571","3.26367742692","9984","266","0.02595121951219512","10250","0","9.34008468462","2.88847026725"
"yaw_launch","forward_accel_nis","-0.55","pair=0,0;linear=0;yaw=0","1316","0.51244412357","0.412640062671","1316","0","0","1316","0","0.51244412357","0.412640062671"
"yaw_launch","forward_accel_nis","-0.5","pair=-0.5,0.5;linear=0;yaw=0.5","11500","19.6634299193","3.13247392273","11216","284","0.024695652173913042","11500","0","8.38043024515","2.7774216384"
"yaw_launch","forward_accel_nis","-0.5","pair=0,0;linear=0;yaw=0","1272","0.405750012418","0.389723469392","1272","0","0","1272","0","0.405750012418","0.389723469392"
"yaw_launch","forward_accel_nis","-0.45","pair=-0.46,0.46;linear=0;yaw=0.46","2500","48.8246386495","4.60017133346","2195","305","0.122","2500","0","8.57766162251","2.68486857757"
"yaw_launch","forward_accel_nis","-0.4","pair=-0.4,0.4;linear=0;yaw=0.4","2500","26.124253814","2.92061146021","2424","76","0.0304","2500","0","5.33788986458","2.12438148721"
"yaw_launch","forward_accel_nis","-0.35","pair=-0.36,0.36;linear=0;yaw=0.36","2500","38.1483283039","3.56928380368","2357","143","0.0572","2500","0","5.13173313994","2.00966179395"
"yaw_launch","forward_accel_nis","-0.3","pair=-0.3,0.3;linear=0;yaw=0.3","2500","26.6556502254","2.50109295318","2440","60","0.024","2500","0","3.04861378325","1.52201052859"
"yaw_launch","forward_accel_nis","","","174625","96.4989216499684","5.632485594526046","149921","24704","0.1414688618468146","174625","0","7.63095315392084","2.3272613494275967"
"yaw_launch","forward_accel_nis","0.3","pair=0.3,-0.3;linear=0;yaw=-0.3","2500","36.12003126","3.24102415624","2383","117","0.0468","2500","0","4.09731736696","1.75385129384"
"yaw_launch","forward_accel_nis","0.35","pair=0.36,-0.36;linear=0;yaw=-0.36","2500","35.869088697","3.53577776483","2351","149","0.0596","2500","0","6.0037528738","2.18893659629"
"yaw_launch","forward_accel_nis","0.4","pair=0.4,-0.4;linear=0;yaw=-0.4","2500","51.036926119","4.75091124096","2190","310","0.124","2500","0","8.73388531731","2.69433385745"
"yaw_launch","forward_accel_nis","0.45","pair=0.46,-0.46;linear=0;yaw=-0.46","2500","35.4959623739","3.81046351439","2332","168","0.0672","2500","0","8.76334822054","2.71514580631"
"yaw_launch","forward_accel_nis","0.5","pair=0,0;linear=0;yaw=0","1293","0.538098432522","0.426831811777","1293","0","0","1293","0","0.538098432522","0.426831811777"
"yaw_launch","forward_accel_nis","0.5","pair=0.5,-0.5;linear=0;yaw=-0.5","11500","21.5525099503","3.10496971089","11199","301","0.02617391304347826","11500","0","8.03016644571","2.65837903712"
"yaw_launch","forward_accel_nis","0.55","pair=0,0;linear=0;yaw=0","1353","0.441888392988","0.392186398853","1353","0","0","1353","0","0.441888392988","0.392186398853"
"yaw_launch","forward_accel_nis","0.55","pair=0.56,-0.56;linear=0;yaw=-0.56","10250","18.1398071957","2.9289995945","10090","160","0.015609756097560976","10250","0","8.43515781242","2.6436804117200006"
