phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,skew_shear,skew_shear:trial_149,held_out,launch,forward_accel_residual_tail,4500,4370,4500,0,9.82956115775,5.81744040886,1.73205080757,9.82956115775,0,false,130,0.0288888888889
stress_full_rows,skew_shear,skew_shear:trial_149,held_out,launch,right_accel_residual_tail,4500,4485,4500,0,4.06130510167,3.69773244518,1.73205080757,4.06130510167,0,false,15,0.00333333333333
stress_full_rows,skew_shear,skew_shear:trial_149,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,19.9400532236,19.9400532236,1.73205080757,19.9400532236,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_149,held_out,yaw_launch,forward_accel_residual_tail,27500,27267,27500,0,5.55714708412,2.61985935185,1.73205080757,5.55714708412,0,false,233,0.00847272727273
stress_full_rows,skew_shear,skew_shear:trial_149,held_out,yaw_launch,right_accel_residual_tail,27500,27281,27500,0,5.45506397411,2.19514843465,1.73205080757,5.45506397411,0,false,219,0.00796363636364
stress_full_rows,skew_shear,skew_shear:trial_149,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,160.080685623,160.080685623,1.73205080757,160.080685623,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_149,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11696,11936,0,8.36184987934,4.77004378209,1.73205080757,8.36184987934,0,false,240,0.0201072386059
stress_full_rows,skew_shear,skew_shear:trial_149,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11926,11936,0,2.91141176997,2.73005570166,1.73205080757,2.91141176997,0,false,10,0.000837801608579
stress_full_rows,skew_shear,skew_shear:trial_149,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,13.1334196972,13.1334196972,1.73205080757,13.1334196972,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_149,validation,launch,forward_accel_residual_tail,6110,5891,6110,0,14.141599132,5.15413540986,1.73205080757,14.141599132,0,false,219,0.0358428805237
stress_full_rows,skew_shear,skew_shear:trial_149,validation,launch,right_accel_residual_tail,6110,6079,6110,0,4.2862143062,3.44901544329,1.73205080757,4.2862143062,0,false,31,0.0050736497545
stress_full_rows,skew_shear,skew_shear:trial_149,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,145.529728941,145.529728941,1.73205080757,145.529728941,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_149,validation,mixed_launch,forward_accel_residual_tail,18572,17288,18572,0,17.563393105,6.3887929289,1.73205080757,17.563393105,0,false,1284,0.0691363342666
stress_full_rows,skew_shear,skew_shear:trial_149,validation,mixed_launch,right_accel_residual_tail,18572,18309,18572,0,6.43282493231,4.62361548985,1.73205080757,6.43282493231,0,false,263,0.0141611027353
stress_full_rows,skew_shear,skew_shear:trial_149,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,57.251707191,57.251707191,1.73205080757,57.251707191,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_149,validation,yaw_launch,forward_accel_residual_tail,30986,23944,30986,0,206.260051811,5.64983355481,1.73205080757,206.260051811,0,false,7042,0.227263925644
stress_full_rows,skew_shear,skew_shear:trial_149,validation,yaw_launch,right_accel_residual_tail,30986,25599,30986,0,70.6809926136,4.93718414442,1.73205080757,70.6809926136,0,false,5387,0.173852707674
stress_full_rows,skew_shear,skew_shear:trial_149,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,7927.2461017,7927.2461017,1.73205080757,7927.2461017,0,false,0,0
