"stage","log_parameter","finite_count","rms_nis","accepted_count","rejected_count","rejected_rate","segment_bucket_count"
"SEC_20_LAUNCH","forward_accel_nis","52167","7.9888126151976477","52053","114","0.0021852895508654895","210"
"SEC_20_LAUNCH","right_accel_nis","52167","3.6353412003079719","51958","209","0.0040063641765867315","210"
"SEC_20_LAUNCH","yaw_rate_nis","52167","1.3354967136716456","52167","0","0","210"
"SEC_30_STRAIGHT","forward_accel_nis","32803","63.052890794174687","31083","1720","0.052434228576654578","18"
"SEC_30_STRAIGHT","right_accel_nis","32803","17.761855339117389","31687","1116","0.034021278541596804","18"
"SEC_30_STRAIGHT","yaw_rate_nis","32803","23.820459511907053","32803","0","0","18"
"SEC_40_YAW","forward_accel_nis","11254","6.6554078281220335","11224","30","0.002665718855518038","1"
"SEC_40_YAW","right_accel_nis","11254","5.2269811114582669","11234","20","0.0017771459036786919","1"
"SEC_40_YAW","yaw_rate_nis","11254","7.1122475859298486","11254","0","0","1"
"launch","forward_accel_nis","26200","11.068721705895451","26100","100","0.0038167938931297708","90"
"launch","right_accel_nis","26200","6.6137327549671072","25947","253","0.0096564885496183209","90"
"launch","yaw_rate_nis","26200","5.1010521215935194","26200","0","0","90"
"mixed_launch","forward_accel_nis","77263","22.012058264231865","76319","944","0.012218008619908623","160"
"mixed_launch","right_accel_nis","77263","15.032682561059369","74190","3073","0.039773242043410172","160"
"mixed_launch","yaw_rate_nis","77263","13.766063779678886","77263","0","0","160"
"straight","forward_accel_nis","1095","92.80633425334382","738","357","0.32602739726027397","1"
"straight","right_accel_nis","1095","70.414526135297166","650","445","0.40639269406392692","1"
"straight","yaw_rate_nis","1095","186.43171427296912","1095","0","0","1"
"yaw_launch","forward_accel_nis","174625","97.544955919376378","147642","26983","0.15451968503937008","278"
"yaw_launch","right_accel_nis","174625","54.266858140169731","152701","21924","0.12554903364352182","278"
"yaw_launch","yaw_rate_nis","174625","127.29966495542521","174625","0","0","278"
