candidate_id,segment_id,split,stage,run_id,source_path,source_row_index,master_time_us,log_parameter,measurement_dimension,nis,accepted,rejected,gate_threshold,innovation,innovation_variance,measurement,prediction,corrupted
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,yaw_rate_nis,1,0,true,false,,0,0.0269679563111,0,0,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,forward_accel_nis,1,0,true,false,25,0,2.20289188363,0,0,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,right_accel_nis,1,0,true,false,25,0,2.19611692655,0,0,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,yaw_rate_nis,1,0.0292473839979,true,false,,0.012,0.00492351726262,0.012,0,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,forward_accel_nis,1,0.0110615753779,true,false,25,-3.63528250066,1194.70133395,1.85,5.48528250066,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,right_accel_nis,1,3.1068067893e-07,true,false,25,0.00399981555471,51.495073742,0.03,0.0260001844453,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,yaw_rate_nis,1,0.0233428050176,true,false,,0.011669184829,0.00583348378532,0.018,0.00633081517097,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,forward_accel_nis,1,6.49083284928,true,false,25,-4.71468514023,3.42456145269,2.75,7.46468514023,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,right_accel_nis,1,0.0101798100769,true,false,25,-0.317349579712,9.89318611868,0.06,0.377349579712,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,yaw_rate_nis,1,187.222315764,true,false,,0.678648607961,0.0024599841702,1.06,0.381351392039,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,forward_accel_nis,1,0.557042680336,true,false,25,-0.992745654875,1.76924312995,0.2,1.19274565488,false
baseline_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,right_accel_nis,1,27.6251635084,false,true,25,10.4987992828,3.99001389971,1.55,-8.94879928278,false
